slug,name,address,vehicle_type,day,time_start,time_end,rate
nus-car-park-car-park-1-in-front-of-sde,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,Car,Sat,05:01 PM,08:29 AM,Free parking
nus-car-park-car-park-1-in-front-of-sde,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,Car,Sun & PH,08:00 AM,08:29 AM,Free parking
one-holland-village,One Holland Village,"7 Holland Village Way, S(275748)",Car,Mon - Fri,07:00 AM,06:00 PM,10 mins grace period; First hour $2.18; Subsequent 15 mins $0.55
one-holland-village,One Holland Village,"7 Holland Village Way, S(275748)",Car,Mon - Fri,06:00 PM,06:59 AM,10 mins grace period; $3.27 per entry
one-holland-village,One Holland Village,"7 Holland Village Way, S(275748)",Car,Sat - Sun & PH,07:00 AM,06:00 PM,10 mins grace period; First hour $2.29; Subsequent 15 mins $0.57
one-holland-village,One Holland Village,"7 Holland Village Way, S(275748)",Car,Sat - Sun & PH,06:00 PM,06:59 AM,10 mins grace period; $3.43 per entry
nus-museum-university-cultural-centre,NUS Museum (University Cultural Centre),"50 Kent Ridge Crescent, S(119279)",Car,Mon - Fri,08:30 AM,07:30 PM,15 mins grace period; Per min $0.02
nus-museum-university-cultural-centre,NUS Museum (University Cultural Centre),"50 Kent Ridge Crescent, S(119279)",Car,Mon - Fri,07:31 PM,08:29 AM,Free parking
nus-museum-university-cultural-centre,NUS Museum (University Cultural Centre),"50 Kent Ridge Crescent, S(119279)",Car,Sat,08:30 AM,05:00 PM,15 mins grace period; Per min $0.02
nus-museum-university-cultural-centre,NUS Museum (University Cultural Centre),"50 Kent Ridge Crescent, S(119279)",Car,Sat,05:01 PM,08:29 AM,Free parking
nus-museum-university-cultural-centre,NUS Museum (University Cultural Centre),"50 Kent Ridge Crescent, S(119279)",Car,Sun & PH,08:00 AM,08:29 AM,Free parking
reflections-at-bukit-chandu-rbc,Reflections at Bukit Chandu (RBC),"31K Pepys Road, S(118458)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
perennial-business-city,Perennial Business City,"1 Venture Avenue, S(608521)",Car,Mon - Sun & PH,12:01 AM,05:00 PM,15 mins grace period; Per hour $1.63
perennial-business-city,Perennial Business City,"1 Venture Avenue, S(608521)",Car,Mon - Sun & PH,05:01 PM,12:00 AM,15 mins grace period; $2.73 per entry
pantech-21,Pantech 21,"200 Pandan Loop, S(128388)",Car,Mon - Sat,07:01 AM,06:00 PM,First hour $1.00; Subsequent 30 mins $0.50
pantech-21,Pantech 21,"200 Pandan Loop, S(128388)",Car,Mon - Sat,06:01 PM,07:00 AM,$1.50 per entry
pantech-21,Pantech 21,"200 Pandan Loop, S(128388)",Car,Sun & PH,12:00 AM,12:00 AM,No parking
raffles-country-club-rcc,Raffles Country Club (RCC),"450 Jalan Ahmad Ibrahim, S(639932)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
royal-selangor-pewter-museum,Royal Selangor Pewter Museum,"32 Pandan Road, S(609279)",Car,Mon - Sat,08:00 AM,05:00 PM,First hour $2.20; Subsequent 30 mins $1.10
royal-selangor-pewter-museum,Royal Selangor Pewter Museum,"32 Pandan Road, S(609279)",Car,Mon - Sat,08:00 AM,05:00 PM,$2.50 per entry
royal-selangor-pewter-museum,Royal Selangor Pewter Museum,"32 Pandan Road, S(609279)",Car,Sun & PH,08:00 AM,08:00 AM,$2.50 per entry
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Car,Mon - Sat,08:00 AM,05:00 PM,$1.20 per hour
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Car,Mon - Sat,05:01 PM,07:59 AM,$3.00 per entry
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Car,Sun & PH,08:00 AM,07:59 AM,$3.00 per entry
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Commercial,Mon - Sat,08:00 AM,05:00 PM,$6.80 per entry
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Commercial,Mon - Sat,05:01 PM,07:59 AM,$13.00 per entry
savoy-theatre,Savoy Theatre,"90 Boon Lay Place, S(238834)",Commercial,Sun & PH,08:00 AM,07:59 AM,$13.00 per entry
rutherford-building,Rutherford Building,"89 Science Park Drive, S(118261)",Car,Mon - Fri,08:00 AM,05:00 PM,15 mins grace period; First hour $1.60; Subsequent 30 mins $1.07
rutherford-building,Rutherford Building,"89 Science Park Drive, S(118261)",Car,Mon - Fri,05:00 PM,08:00 AM,15 mins grace period; First hour $1.60; Subsequent 30 mins $1.07
rutherford-building,Rutherford Building,"89 Science Park Drive, S(118261)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,No parking
safra-jurong,SAFRA Jurong,"333 Boon Lay Way, S(649848)",Car,Mon - Sat,06:00 AM,05:59 PM,First hour $2.10; Subsequent 15 mins $0.52
safra-jurong,SAFRA Jurong,"333 Boon Lay Way, S(649848)",Car,Mon - Sat,06:00 PM,05:59 AM,$4.05 per entry
safra-jurong,SAFRA Jurong,"333 Boon Lay Way, S(649848)",Car,Sun & PH,06:00 AM,05:59 AM,$4.05 per entry
singapore-institute-of-management-sim,Singapore Institute of Management (SIM),"461 Clementi Road, S(599491)",Car,Mon - Sun,06:00 AM,05:00 PM,15 mins grace period; Per 30 mins $0.65
singapore-institute-of-management-sim,Singapore Institute of Management (SIM),"461 Clementi Road, S(599491)",Car,Mon - Sun,05:00 PM,11:59 PM,15 mins grace period; Per 30 mins $0.65
singapore-institute-of-management-sim,Singapore Institute of Management (SIM),"461 Clementi Road, S(599491)",Car,& PH,12:00 AM,12:00 AM,No parking
singapore-discovery-centre-sdc,Singapore Discovery Centre (SDC),"510 Upper Jurong Road, S(638365)",Car,Mon - Sun & PH,09:00 AM,10:00 PM,10 mins grace period; Per hour $1.20
singapore-discovery-centre-sdc,Singapore Discovery Centre (SDC),"510 Upper Jurong Road, S(638365)",Car,Mon - Sun & PH,10:00 PM,09:00 AM,10 mins grace period; Per hour $1.80
serene-centre,Serene Centre,"10 Jalan Serene, S(258748)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,10 mins grace period; First hour $2.51; Subsequent 30 mins $2.18
singapore-science-centre,Singapore Science Centre,"15 Science Centre Road, S(609081)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,15 mins grace period; Per 30 mins $0.71
snow-city,Snow City,"21 Jurong Town Hall Road, S(609433)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,10 mins grace period; Per 30 mins $0.70
st-luke-hospital,St Luke Hospital,"2 Bukit Batok Street 11, S(659674)",Car,Mon - Sun & PH,07:00 AM,05:00 PM,$1.50 per hour
st-luke-hospital,St Luke Hospital,"2 Bukit Batok Street 11, S(659674)",Car,Mon - Sun & PH,05:00 PM,07:00 AM,$1.50 per hour
spring-singapore,SPRING Singapore,"2 Bukit Merah Central, S(159835)",Car,Mon - Fri,07:00 AM,06:00 PM,$0.50 per 30 mins
spring-singapore,SPRING Singapore,"2 Bukit Merah Central, S(159835)",Car,Mon - Fri,06:00 PM,07:00 AM,$2.50 per entry
spring-singapore,SPRING Singapore,"2 Bukit Merah Central, S(159835)",Car,Sat,07:00 AM,01:00 PM,$0.50 per 30 mins
spring-singapore,SPRING Singapore,"2 Bukit Merah Central, S(159835)",Car,Sat,01:00 PM,07:00 AM,$2.50 per entry
spring-singapore,SPRING Singapore,"2 Bukit Merah Central, S(159835)",Car,Sun & PH,07:00 AM,07:00 AM,$2.50 per entry
suites-bukit-timah,Suites @ Bukit Timah,"68 Jalan Jurong Kechil, S(596180)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,$2.00 per hour; Capped at $3.00
sungei-buloh-wetland-reserve,Sungei Buloh Wetland Reserve,"301 Neo Tiew Crescent, S(718925)",Car,Mon - Sun & PH,07:00 AM,07:00 PM,Free parking
sungei-buloh-wetland-reserve,Sungei Buloh Wetland Reserve,"301 Neo Tiew Crescent, S(718925)",Car,Mon - Sun & PH,07:00 PM,07:00 AM,No parking
taman-jurong-shopping-centre,Taman Jurong Shopping Centre,"399 Yung Sheng Road, S(610399)",Car,Mon - Sun & PH,07:00 AM,06:59 AM,10 mins grace period; Per 30 mins $0.60
tan-chong-industrial-park,Tan Chong Industrial Park,"798 Upper Bukit Timah Road, S(678138)",Car,Mon - Sun & PH,07:00 AM,12:00 AM,$2.14 per hour
tan-chong-industrial-park,Tan Chong Industrial Park,"798 Upper Bukit Timah Road, S(678138)",Car,Mon - Sun & PH,12:00 AM,07:00 AM,$4.28 per hour
temasek-club,Temasek Club,"131 Rifle Range Road, S(588406)",Car,Mon - Fri,07:00 AM,04:59 PM,10 mins grace period; First hour $1.20; Subsequent 15 mins $0.30
temasek-club,Temasek Club,"131 Rifle Range Road, S(588406)",Car,Mon - Fri,05:00 PM,07:00 AM,10 mins grace period; First hour $2.50; Subsequent 15 mins $0.30
temasek-club,Temasek Club,"131 Rifle Range Road, S(588406)",Car,Sat - Sun & PH,07:00 AM,07:00 AM,10 mins grace period; First hour $2.50; Subsequent 15 mins $0.30
the-aquarius,The Aquarius,"21 Science Park Road, S(117628)",Car,Mon - Fri,07:30 AM,07:30 PM,10 mins grace period; First hour $0.56; Subsequent hour $1.07
the-aquarius,The Aquarius,"21 Science Park Road, S(117628)",Car,Mon - Fri,07:30 PM,07:30 AM,No parking
the-aquarius,The Aquarius,"21 Science Park Road, S(117628)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,No parking
the-capricorn,The Capricorn,"1 Science Park Road, S(117528)",Car,Mon - Fri,07:30 AM,07:30 PM,10 mins grace period; First hour $1.60; Subsequent 30 mins $1.07
the-capricorn,The Capricorn,"1 Science Park Road, S(117528)",Car,Mon - Fri,07:30 PM,07:30 AM,Free parking
the-capricorn,The Capricorn,"1 Science Park Road, S(117528)",Car,Sat - Sun & PH,07:30 AM,07:30 AM,Free parking
the-aries,The Aries,"51 Science Park Road, S(117586)",Car,Mon - Fri,07:30 AM,07:30 PM,10 mins grace period; First hour $1.60; Subsequent 30 mins $1.07
the-aries,The Aries,"51 Science Park Road, S(117586)",Car,Mon - Fri,07:30 PM,07:30 AM,Free parking
the-aries,The Aries,"51 Science Park Road, S(117586)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,No parking
the-alpha-science-park-ii,The Alpha (Science Park II),"10 Science Park Road, S(117684)",Car,Mon - Fri,12:00 AM,05:59 AM,First hour $1.62; Subsequent 30 mins $1.08
the-alpha-science-park-ii,The Alpha (Science Park II),"10 Science Park Road, S(117684)",Car,Mon - Fri,06:00 PM,11:59 PM,Free parking
the-alpha-science-park-ii,The Alpha (Science Park II),"10 Science Park Road, S(117684)",Car,Sat - Sun & PH,12:00 AM,11:59 PM,Free parking
the-frontier-community-club,The Frontier Community Club,"60 Jurong West Central 3, S(648346)",Car,Mon - Sun & PH,08:00 AM,08:00 AM,10 mins grace period; First hour $2.15; Subsequent 30 mins $1.07
the-chevrons,The Chevrons,"48 Boon Lay Way, S(609961)",Car,Mon - Fri,07:00 AM,04:59 PM,$1.20 per hour
the-chevrons,The Chevrons,"48 Boon Lay Way, S(609961)",Car,Mon - Fri,05:00 PM,06:59 AM,$2.50 per entry
the-chevrons,The Chevrons,"48 Boon Lay Way, S(609961)",Car,Sat - Sun & PH,07:00 AM,06:59 AM,$2.50 per entry
the-clementi-mall,The Clementi Mall,3155 Commonwealth Avenue West S(129588),Car,Mon - Sun & PH,09:00 AM,11:00 PM,10 mins grace period; First hour $1.70; Subsequent 30 mins $0.84
the-clementi-mall,The Clementi Mall,3155 Commonwealth Avenue West S(129588),Car,Mon - Sun & PH,11:00 PM,07:00 PM,10 mins grace period; First hour $1.70; Subsequent 30 mins $0.84
the-fleming,The Fleming,"59 Science Park Drive, S(118239)",Car,Mon - Fri,07:30 AM,07:30 PM,10 mins grace period; First hour $0.56; Subsequent 30 mins $1.07
the-fleming,The Fleming,"59 Science Park Drive, S(118239)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,Free parking
the-grandstand,The Grandstand,"720 Dunearn Road, S(789631)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
the-metropolis,The Metropolis,"9 North Buona Vista Drive, S(138588)",Car,Mon - Fri,06:00 AM,06:00 PM,First hour $2.68; Subsequent 30 mins $1.34
the-metropolis,The Metropolis,"9 North Buona Vista Drive, S(138588)",Car,Mon - Fri,06:00 PM,06:00 AM,$2.68 per entry
the-metropolis,The Metropolis,"9 North Buona Vista Drive, S(138588)",Car,Sat - Sun & PH,06:00 AM,06:00 PM,$1.07 per hour
the-metropolis,The Metropolis,"9 North Buona Vista Drive, S(138588)",Car,Sat - Sun & PH,06:00 PM,06:00 AM,$2.68 per entry
the-galen-singapore-science-park-ii,"The Galen, Singapore Science Park II","61 Science Park Road, S(117525)",Car,Mon - Fri,07:30 AM,07:30 PM,First hour $1.60; Subsequent 30 mins $1.07
the-galen-singapore-science-park-ii,"The Galen, Singapore Science Park II","61 Science Park Road, S(117525)",Car,Mon - Fri,07:30 PM,07:30 AM,Free parking
the-galen-singapore-science-park-ii,"The Galen, Singapore Science Park II","61 Science Park Road, S(117525)",Car,Sat - Sun & PH,07:30 AM,07:30 AM,Free parking
the-gemini,The Gemini,"41 Science Park Road, S(117610)",Car,Mon - Fri,07:30 AM,07:30 PM,10 mins grace period; First hour $1.60; Subsequent 30 mins $1.07
the-gemini,The Gemini,"41 Science Park Road, S(117610)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,No parking
the-sports-stage,The Sports Stage,"200 Pandan Gardens, S(609336)",Car,Mon - Sun & PH,07:00 AM,07:00 PM,First hour $1.40; Subsequent 30 mins $0.60
the-sports-stage,The Sports Stage,"200 Pandan Gardens, S(609336)",Car,Mon - Sun & PH,07:00 PM,07:00 AM,First hour $1.40; Subsequent 30 mins $0.60
the-star-vista,The Star Vista,"1 Vista Exchange Green, S(138617)",Car,Mon - Sat,12:00 AM,11:59 PM,10 mins grace period; First hour $1.80; Subsequent 30 mins $0.90
the-star-vista,The Star Vista,"1 Vista Exchange Green, S(138617)",Car,Sun & PH,12:00 AM,11:59 PM,10 mins grace period; First hour $2.30; Subsequent 30 mins $1.15; Capped at $10.00
the-singapore-mint,The Singapore Mint,"20 Teban Gardens Crescent, S(608928)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
the-strategy-international-business-park,The Strategy (International Business Park),"2 International Business Park, S(609930)",Car,Mon - Sat,07:00 AM,10:00 PM,First hour $2.00; Subsequent 30 mins $1.50
the-strategy-international-business-park,The Strategy (International Business Park),"2 International Business Park, S(609930)",Car,Mon - Sat,10:00 PM,07:00 AM,$2.00 per entry
the-strategy-international-business-park,The Strategy (International Business Park),"2 International Business Park, S(609930)",Car,Sun & PH,07:00 AM,07:00 AM,$2.00 per entry
tradehub-21,TradeHub 21,"8 Boon Lay Way, S(609964)",Car,Mon - Fri,07:00 AM,07:00 PM,$1.20 per hour
tradehub-21,TradeHub 21,"8 Boon Lay Way, S(609964)",Car,Mon - Fri,07:00 PM,12:00 AM,Free parking
tradehub-21,TradeHub 21,"8 Boon Lay Way, S(609964)",Car,Sat - Sun & PH,07:00 AM,07:00 AM,$1.00 per entry
tiong-bahru-plaza,Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)",Car,Mon - Sun & PH,06:00 AM,06:00 PM,10 mins grace period; First hour $1.28; Subsequent 30 mins $1.00
tiong-bahru-plaza,Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)",Car,Mon - Sun & PH,06:01 PM,05:59 AM,10 mins grace period; $3.20 per entry
the-synergy-international-business-park,The Synergy (International Business Park),"1 International Business Park, S(609917)",Car,Mon - Sat,07:00 AM,10:00 PM,First hour $2.00; Subsequent 30 mins $1.50
the-synergy-international-business-park,The Synergy (International Business Park),"1 International Business Park, S(609917)",Car,Mon - Sat,10:01 PM,07:00 AM,$2.00 per entry
the-synergy-international-business-park,The Synergy (International Business Park),"1 International Business Park, S(609917)",Car,Sun & PH,07:00 AM,07:00 AM,$2.00 per entry
tuas-vista,Tuas Vista,"2 Tuas South Avenue 2, S(637601)",Car,Mon - Sun & PH,07:00 AM,07:00 PM,$0.02 per min
tuas-vista,Tuas Vista,"2 Tuas South Avenue 2, S(637601)",Car,Mon - Sun & PH,11:30 AM,01:30 PM,Free parking
tuas-vista,Tuas Vista,"2 Tuas South Avenue 2, S(637601)",Car,Mon - Sun & PH,07:00 PM,07:00 AM,$0.02 per min
