slug,name,address
tagore-23-warehouse,Tagore 23 Warehouse,"23 Tagore Lane, Singapore 787601"
singapore-zoo-singapore-night-safari,Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, Singapore 729826"
techpoint,Techpoint,"10 Ang Mo Kio Street 65, Singapore 569059"
tagore-industrial-building,Tagore Industrial Building,"6 Tagore Drive, Singapore 787623"
techplace-1,Techplace 1,"4008 Ang Mo Kio Avenue 10, Singapore 569625"
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788
home-united-youth-football-academy-hyfa,Home United Youth Football Academy (HYFA),8 Mattar Road Singapore 387727
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788
hotel-windsor,Hotel Windsor,401 Macpherson Road Singapore 368125
hor-kew-business-centre,Hor Kew Business Centre,66 Kallang Pudding Road Singapore 349324
hougang-stadium-sports-hall-clubfitt-gym,Hougang Stadium / Sports Hall / ClubFITT Gym,100 Hougang Avenue 2 Singapore 538856
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692
ibm-place-1,IBM Place 1,9 Changi Business Park Central 1 Singapore 486048
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802
ibm-place-2,IBM Place 2,9 Changi Business Park Central 1 Singapore 486048
ibm-singapore-technology-park,IBM Singapore Technology Park,6 Tampines Industrial Avenue 5 Singapore (528760
ikea-tampines,IKEA Tampines,60 Tampines North Drive 2 Singapore 528764
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901
joo-chiat-complex,Joo Chiat Complex,1 Joo Chiat Road Singapore 420001
institute-of-mental-health-imh,Institute Of Mental Health (IMH),10 Buangkok View Singapore 539747
jtc-blk-3014a-3015a-ubi-road-1,JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1 Singapore 408703
jtc-blk-8-12-lorong-bakar-batu,JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu Singapore 348743
kallang-leisure-park,Kallang Leisure Park,5 Stadium Walk Singapore 397693
kaki-bukit-autohub,Kaki Bukit Autohub,2 Kaki Bukit Avenue 2 Singapore 417921
the-brooks-ii,The Brooks II,"25 Springside Green, Singapore 786015"
the-brooks-i,The Brooks I,"60 Springside Walk, Singapore 786020"
the-grassroots-club,The Grassroots Club,"190 Ang Mo Kio Avenue 8, Singapore 568046"
kallang-wave-mall,Kallang Wave Mall,1 Stadium Place Singapore 397628
kampong-bugis-road,Kampong Bugis Road,Kampong Bugis Road
kapo-factory-building,Kapo Factory Building,80 Playfair Road Singapore 367998
the-oval-seletar-aerospace-park,The Oval @ Seletar Aerospace Park,"3 Park Lane, Singapore 798387"
thomson-plaza,Thomson Plaza,"301 Upper Thomson Road, Singapore 574408"
victory-8,Victory 8,"8 Jalan Legundi, Singapore 759274"
katong-point,Katong Point,451 Joo Chiat Road Singapore 427664
toa-payoh-stadium-sports-hall-clubfitt-gym,Toa Payoh Stadium / Sports Hall / ClubFITT Gym,"297 Lorong 6 Toa Payoh, Singapore 319389"
katong-plaza,Katong Plaza,1 Brooke Road Singapore 429979
katong-shopping-centre,Katong Shopping Centre,865 Mountbatten Road Singapore 437844
waterway-point,Waterway Point,"83 Punggol Central, S(828761)"
angullia-park,Angullia Park,Angullia Park Singapore 239974
albert-centre-market-and-food-centre,Albert Centre Market and Food Centre,270 Queen Street Singapore 180270
bendemeer-market-and-food-centre,Bendemeer Market and Food Centre,"29 Bendemeer Road, S(330029)"
beach-centre,Beach Centre,15 Beach Road Singapore 189677
bay-hotel-singapore,Bay Hotel Singapore,50 Telok Blangah Road Singapore 098828
berjaya-hotel,Berjaya Hotel,83 Duxton Road Singapore 089540
katong-v-village-hotel-katong,Katong V (Village Hotel Katong),25 Marine Parade Singapore 449536
katong-village,Katong Village,86 East Coast Road Singapore 28788
bestway-building,Bestway Building,12 Prince Edward Road Singapore 079212
katong-square,Katong Square,86 East Coast Road Singapore 428788
kb-industrial-building,KB Industrial Building,10 Kaki Bukit Road 1 Singapore 416175
bijou-condo,Bijou Condo,"2 Jalan Mat Jambol, S(119554)"
kembangan-plaza,Kembangan Plaza,18 Jalan Masjid Singapore 418944
kensington-square,Kensington Square,2 Jalan Lokam Singapore 537846
laguna-national-golf-and-country-club,Laguna National Golf and Country Club,11 Laguna Golf Green Singapore 488047
kopitiam-square,Kopitiam Square,10 Sengkang Square Kopitiam Square Singapore 544829
kovan-neighbourhood-centre,Kovan Neighbourhood Centre,209 Hougang Street 21 Singapore 530209
kinex,Kinex,11 Tanjong Katong Road Singapore 437157
lion-city-hotel,Lion City Hotel,15 Tanjong Katong Road Singapore 436950
lam-seng-building,Lam Seng Building,Playfair Road
lhk-2-building,LHK 2 Building,76 Playfair Road Singapore 367996
lifelong-learning-institute-lli,Lifelong Learning Institute (LLI),11 Eunos Road 8 Singapore 408601
ltc-building-lion-industrial-building,LTC Building (Lion Industrial Building),12 Arumugam Road Singapore 409958
luxton-building,Luxton Building,10 Sims Drive
loyang-point,Loyang Point,258 Pasir Ris Street 21 Singapore 510258
mapex,Mapex,37 Jalan Pemimpin Singapore 577177
millage,Millage,55 Changi Road Singapore 419709
mapletree,Mapletree,1 Kallang Sector Singapore 349276
marine-parade-central-market-and-food-centre,Marine Parade Central Market and Food Centre,84 Marine Parade Central Singapore 440084
national-sailing-centre,National Sailing Centre,1500 East Coast Parkway Singapore 468963
